rule_id,book,chapter,batch_id,condition_type,planet,house,flag_reason,interpretation_summary,claude_recommendation,claude_reasoning,suggested_edit,final_action
R-300IMP-GEN-165,300 Important Combinations,Appendix I,300-important-combin_001_20260413,composite,,,Summary and detailed text are truncated mid-sentence ('amidst a' and 'The axis formed by Rahu and'); incomplete statement prevents evaluation.,"The KSY configuration reveals its luminous aspects, imbuing individuals with industriousness and diligence, while simultaneously fostering an acute awareness of their own capabilities, albeit amidst a backdrop of mental agitation. This alignment propels the natives toward esteemed positions within their professions, contingent upon the presence of additional Raja yogas. The axis formed by Rahu and Kethu supports advancement in worldly affairs, whereas the Kethu and Rahu axis signifies ascension in spiritual pursuits. Furthermore, it has been observed that those influenced by KSY may experience betrayal from those they hold in trust.",needs_edit,"The interpretation text contains mid-sentence truncation markers ('amidst a' and 'The axis formed by Rahu and') that disrupt logical flow, though the core claims about KSY industriousness, professional advancement, and betrayal are interpretable.",Restore complete sentences in the affected passages: clarify the phrase after 'amidst a' and complete the Rahu-Kethu axis distinction statement.,
R-300IMP-GEN-167,300 Important Combinations,Appendix I,300-important-combin_001_20260413,composite,,,"Text is severely truncated and incomplete; makes vague claims about Saturn in 7th with Ascendant lord causing decline despite Raja Yogas, then abruptly shifts to Kethu-Rahu axis without coherent connection or completion.","In the presence of Saturn, particularly when it occupies the seventh house in conjunction with the lord of the Ascendant, a significant decline may occur, notwithstanding the individual's ascent to great heights through various Raja Yogas, assessed from both the Ascendant and the Moon's Ascendant. The conclusion of the Saturn Dasa heralded a tragic demise. It is noteworthy that the Kethu-Rahu axis pertains to the twelfth and sixth houses, indicating that the native faced treachery from those whom he held in trust.",deprecate,"The rule conflates multiple unrelated concepts (Saturn in 7th with Ascendant lord, a Saturn Dasa death, and Kethu-Rahu axis treachery) without coherent logical connection, reads as fragmented case notes rather than a generalizable interpretation rule, and lacks the structure needed for consistent application.",,
R-300IMP-KALASA-163,300 Important Combinations,Appendix I,300-important-combin_001_20260413,yoga,,,Text is truncated mid-sentence ('In terms o'); the statement 'definition of Kalasarpa Yoga remains largely valid' is vague and self-referential rather than substantive.,"The aforementioned definition of Kalasarpa Yoga remains largely valid. However, a question arises: what occurs when all celestial bodies are confined between Kethu and Rahu? Some scholars argue that this scenario does not constitute Kalasarpa Yoga. Nonetheless, it is our perspective that the yoga exists regardless of whether the planets are situated between Rahu and Kethu or vice versa. In terms of the outcomes, various interpretations may arise. Commonly, it is believed that Kalasarpa Yoga bears a malevolent influence, inhibiting the positive effects of other auspicious yogas present within the natal chart. Individuals afflicted by this yoga are thought to encounter obstacles and setbacks throughout their lives. Additionally, there exists a concern that Kalasarpa Yoga possesses the potential to negate even the most potent Dhanayogas, thereby reducing a wealthy individual to poverty.",needs_edit,The opening phrase 'The aforementioned definition of Kalasarpa Yoga remains largely valid' is self-referential and uninformative; the rule otherwise provides substantive content on planets between Rahu/Kethu variants and Kalasarpa's effect on wealth yogas.,Replace the opening self-referential statement with a direct definition or remove it; restore the truncated 'In terms o' phrase to complete the sentence about outcomes and interpretations.,
R-300IMP-KALASA-166,300 Important Combinations,Appendix I,300-important-combin_001_20260413,yoga,,,Text is truncated mid-sentence ('overs'); the statement 'Rahu must occupy a central role...positioned between Rahu and Kethu' is logically incoherent (Rahu cannot be between itself and Kethu).,"The ancient verse indicates that for Kalasarpa Yoga to manifest, Rahu must occupy a central role among the planets, specifically positioned between Rahu and Kethu. Additionally, if any planet linked to Rahu or Kethu is found in a state of strength, either exalted or in its own domicile, the potency of this Yoga diminishes. It is not unfounded to fear that the presence of Kalasarpa Yoga could overshadow the benefits of other favorable planetary alignments. There exist horoscopes replete with auspicious combinations that promise significant progress and wealth, yet the individuals may remain unremarkable. A promising career may abruptly cease. In such instances, while Kalasarpa Yoga may be present, it is not necessarily the sole factor defining one's circumstances; it may merely contribute to the overall picture.",deprecate,The core condition is logically incoherent—'Rahu must occupy a central role...positioned between Rahu and Kethu' is geometrically impossible and indicates either severe textual corruption or a fundamental error in the source material that cannot be reliably fixed.,,
R-300IMP-ADHIYO-160,300 Important Combinations,Private Limited O Delhi,300-important-combin_001_20260413,yoga,,,"Text is truncated mid-sentence ('intertwine'); the summary poses a question rather than stating a rule, making it incoherent as a predictive statement.","The inquiry arises whether the outcomes of these yogas will manifest during the Dasa or Bhukthi, influenced by the other celestial bodies present. This question presents a challenge in its resolution. However, one might reasonably deduce that the presence of Jupiter, which has initiated several yogas, would lead to an amalgamation of their effects. Notably, Adhi Yoga and Amala Yoga have intertwined with Gajakesari. Regarding Bheri and similar yogas, the dominant influence will stem from the more potent planet or planets involved. The subsequent schedule illustrates the capacity of various planets to bestow the effects associated with the yogas they generate: the Su*- Vesi Yoga, Sankha Yoga, Bheri Yoga, Parijata Yoga, Brahma Yoga, and Kendra Yoga. Each of these is influenced by the benefic lord and its associations.",deprecate,"Rule is presented as a philosophical question rather than a predictive statement, text is truncated mid-sentence, and lacks actionable interpretation criteria for application.",,
R-300IMP-ADITYA-153,300 Important Combinations,Private Limited O Delhi,300-important-combin_001_20260413,yoga,,,Detailed text is severely corrupted/truncated mid-sentence with garbled Sanskrit terms ('ltlahabhagl'a') and incomplete references; cannot verify coherence or accuracy.,"The conjunction of the Sun and Mercury is termed Budha-Aditya Yoga, provided their proximity does not exceed 10 degrees. The Sun, Moon, and Lagna, when positioned in odd and even signs for males and females respectively, give rise to the auspicious ltlahabhagl'a Yoga. Pushkala Yoga is recognized as a favorable alignment, while the conjunction of the lords of Lagna and the 9th house results in Lakshmi Yoga, which enhances financial stability. The exaltation of the lord of the Navamsa, held by the lord of the 10th house, creates Gauri Yoga. Furthermore, the lords of the Navamsas associated with the 2nd, 5th, and 11th houses, when exalted alongside the 9th lord, generate Bharathi Yoga, both of which are beneficial for wealth and knowledge. When Jupiter, the Moon, and the Sun occupy the Lagna, 7th, and 2nd houses respectively, they form Kusuma Yoga, a significant Raja Yoga. Chapa Yoga arises when the lord of Lagna is exalted and there is an exchange of houses between the 4th and 10th lords.",deprecate,Text contains severe corruption with garbled Sanskrit terms ('ltlahabhagl'a') and truncation making verification of accuracy impossible; the corrupted data undermines all interpretative value.,,
R-300IMP-AMALAY-020,300 Important Combinations,Private Limited O Delhi,300-important-combin_001_20260413,yoga,,,"Definition of Amala Yoga is non-standard and contradicts classical sources; classical Amala Yoga requires benefics in the 10th from Lagna only, not the specific Venus-Mercury-Jupiter configuration stated here. Text is also truncated.","Amala Yoga is distinctly characterized by the alignment of Venus and Mercury in the tenth house from the Lagna, alongside Jupiter positioned in the tenth house from the Moon. This configuration bestows upon the individual the stature of a high-ranking civil servant, endowed with confidence, creativity, and a keen understanding of human behavior. The presence of Venus, as the significator of Amala Yoga, greatly enhances the native's fortunes.",needs_edit,Definition contradicts classical Amala Yoga sources which require benefics in 10th from Lagna only; text also appears truncated and requires verification against standard texts.,"Revise definition to align with classical sources: Amala Yoga requires benefic planets in the 10th house from Lagna, not the specific Venus-Mercury-Jupiter configuration stated; remove or complete truncated sections.",
R-300IMP-ANAPAT-089,300 Important Combinations,Private Limited O Delhi,300-important-combin_001_20260413,yoga,,,"Text is severely truncated and incoherent; references 'Chart No. 96' without context and cuts off mid-interpretation ('the presence of Jupiter, the significator'); cannot verify astrological claim.","The Anapathya Yoga exhibited here is unparalleled, surpassing that found in Chart No. 96. The lord of the fifth house, Mars, is in conjunction with Rahu, while Saturn resides in the fifth house, receiving a strong aspect from the Moon. This configuration is fully realized. Consequently, the individual may experience the loss of several offspring; however, the presence of Jupiter, the significator of children, positioned in the tenth house and free from affliction, mitigates much of the associated sorrow.",deprecate,"Rule relies on unexplained chart reference ('Chart No. 96'), is truncated mid-sentence ('the presence of Jupiter, the significator'), and functions as a case-study example rather than a generalizable principle.",,
R-300IMP-BHADRA-030,300 Important Combinations,Private Limited O Delhi,300-important-combin_001_20260413,yoga,,,Summary is incomplete ('In Chart No.') and appears to be a specific example rather than a general rule. Bhadra Yoga definition is correct (Mercury in Kendra in own/exalted sign) but the rule lacks proper generalization. Text is truncated.,"In Chart No. 24, Mercury resides in the first house, where it governs its own domain, thereby establishing the auspicious Bhadra Yoga. This planet remains untouched by any malevolent forces. The individual's physical attributes reflect the traits associated with the Lagna, while the aspects of intellectual growth, education, prosperity, and benevolent tendencies are thoroughly exemplified by the presence of Bhadra Yoga.",needs_edit,"Core Bhadra Yoga definition is correct but rule is presented as a specific chart example ('Chart No. 24') rather than a generalized principle, and text is truncated.","Remove chart reference and restructure as a general rule: 'Bhadra Yoga is formed when Mercury occupies a Kendra house in its own or exalted sign, bestowing benefits in intellectual growth, education, prosperity, and benevolence' — then provide the chart example separately as illustration.",
R-300IMP-DHANAY-061,300 Important Combinations,Private Limited O Delhi,300-important-combin_001_20260413,yoga,,,Text is an incomplete case-study fragment ('Chart No. 66') without a coherent general principle; does not function as a reusable interpretation rule.,"In Chart No. 66, we observe a quintessential illustration of combination 120. Saturn, the ruler of the 5th house, resides therein, while Mars, governing the 2nd house, and Mercury, the lord of the 9th, are positioned in the 11th house alongside the Sun, the master of the 11th. Notably, during the Dasa of Mercury, the father of the native experienced a remarkable increase in wealth, likely attributable to the Dhana Yoga instigated by Mercury's association with the Pitrukaraka Sun.",deprecate,Rule is presented solely as a case-study fragment ('Chart No. 66') without extraction of a generalizable principle; lacks reusability as an interpretation rule.,,
R-300IMP-GAJAKE-114,300 Important Combinations,Private Limited O Delhi,300-important-combin_001_20260413,yoga,,,Definition of Gajakesari Yoga is non-standard; classical texts require Moon in kendra from Jupiter (not necessarily 5th house Jupiter); the requirement for fixed sign in Ascendant is not a standard criterion.,"The formation of Gajakesari Yoga necessitates that a fixed sign be present, with Jupiter positioned in the fifth house from the Ascendant, while the Moon must reside in a kendra relative to Jupiter. It is essential that the lord of the Ascendant occupies the tenth house. The presence of the Moon in a kendra from Jupiter indicates the establishment of Gajakesari Yoga. The Moon may be positioned in the second, eleventh, or eighth houses from the Ascendant, with the first two placements being favorable as they pertain to wealth and gains, provided the Moon is not afflicted by its lordship. The eighth position, however, is deemed unfavorable. The potential of this yoga is significant, particularly when both the lord of the Ascendant and Jupiter are in strong positions, especially as Gajakesari Yoga also considers Jupiter's aspect on the Ascendant. This yoga exhibits a variety of forms, arising from four distinct signs, influenced by the variable position of the Moon.",needs_edit,"Definition deviates from classical standards by requiring fixed sign in Ascendant and specific Jupiter-in-5th placement, whereas classical texts require only Moon in kendra from Jupiter; requires alignment with authoritative sources.","Revise to classical definition: 'Gajakesari Yoga forms when Moon is in a kendra (1st, 4th, 7th, or 10th house) from Jupiter; Moon in 2nd or 11th from Lagna indicates wealth; 8th house placement is unfavorable.' Remove non-standard Ascendant requirements and re-verify Jupiter placement specifications.",
R-300IMP-GEN-002,300 Important Combinations,Private Limited O Delhi,300-important-combin_001_20260413,composite,,,"Rule contains logical contradiction: states 'Moon serves as a malefic lord, yet it is also associated with Saturn, a benefic entity' and later 'Jupiter, another malefic lord'—Jupiter is classically a benefic, not malefic. The terminology is confused and incoherent. Text is truncated.","In this astrological configuration, the Moon serves as a malefic lord, yet it is also associated with Saturn, a benefic entity. The Moon finds exaltation in its position, and its aspect strength is noteworthy. Conversely, Jupiter, another malefic lord, resides in a sign that is friendly to it and is under the benefic influence of Saturn, as well as being aspected by Mars, another benefic force. The cumulative strength indicates that while both the Moon and Jupiter are classified as benefic, the Moon's shadbala, or strength, surpasses that of Jupiter. Consequently, it is the Moon that is likely to manifest the predominant influences related to the 4th house, while Jupiter contributes to the outcomes associated with its own placements. For further details, one may refer to the Aspect Table.",deprecate,"Rule contains fundamental logical contradictions (Moon called both malefic and benefic, Jupiter called malefic when it is classically benefic) and lacks coherent astrological reasoning; text is truncated and internally inconsistent.",,
R-300IMP-GEN-005,300 Important Combinations,Private Limited O Delhi,300-important-combin_001_20260413,composite,,,"Text is incomplete and truncated mid-sentence ('Both the Moon and Jupiter exhibit a weak'), making it impossible to evaluate the full interpretation.","In this astrological configuration, the Moon is regarded as a neutral force, lacking any significant associations. Its aspect strength is minimal, and it resides in a house that is considered adversarial. Conversely, Jupiter is identified as a benefic entity, though it is conjoined with Kethu and positioned in a sign that is not favorable for its influence. Both the Moon and Jupiter exhibit a weak benefic quality; however, the Moon is likely to contribute more significantly to the outcomes of the yoga than Jupiter. The Moon is capable of manifesting its share of results, particularly when it serves as the major lord and sub-lord during Jupiter's Dasa. The effectiveness of this yoga is effectively diminished if the positive and negative strengths attributed to both celestial bodies are found to be equal.",needs_edit,"Text is truncated mid-sentence ('Both the Moon and Jupiter exhibit a weak'), preventing complete evaluation of the interpretation logic.",Complete the truncated sentence and provide full text; verify that comparative strength analysis between Moon and Jupiter is logically consistent and classically supported.,
R-300IMP-GEN-016,300 Important Combinations,Private Limited O Delhi,300-important-combin_001_20260413,composite,,,"Sun in Lagna causing fear of deception is not a standard Vedic principle; classical texts associate Sun in Lagna with confidence, authority, and leadership, not anxiety or mistrust.","When the Lagna is graced by the presence of the Sun, the individual often harbors a persistent fear of being deceived or swindled. This leads to a disposition marked by anxiety and heightened sensitivity. Such a native tends to exhibit frugality and a careful demeanor, mirroring the mistrust he perceives in others' actions towards him. This configuration is emblematic of a distinctive astrological profile.",deprecate,"Interpretation contradicts classical Vedic astrology: Sun in Lagna classically confers confidence, authority, and leadership—not fear of deception or anxiety; this rule appears to be non-standard and lacks authoritative support.",,
R-300IMP-GEN-019,300 Important Combinations,Private Limited O Delhi,300-important-combin_001_20260413,composite,,,Detailed text is truncated and incomplete ('in accordance with the p'); the rule mixes Amala yoga definition with incomplete reasoning.,"In the analysis of any astrological combination, it is imperative to assess the potency of the lord responsible for the Amala, alongside the influences and relationships it encounters. The presence of benefic planets in the tenth house from either the Ascendant or the Moon is essential for the manifestation of Amala. In their absence, the Amala cannot be realized. However, in accordance with the principle articulated in the phrase 'Udayat Indutovapi Yegrahadasamasthithaha Te sarve arthapradagneya swa dasasu yatoditha,' which conveys that any planet positioned in the tenth house from the Lagna or Chandra will bestow considerable wealth during its Dasa, the involvement of a malefic is not entirely excluded. The term Amala signifies purity, and when this Yoga is established, it heralds prosperity and abundance through honorable means; conversely, a malefic may indeed confer wealth, albeit through dubious methods.",needs_edit,"The rule contains valuable principle about Amala yoga and malefic involvement, but the truncated Sanskrit quote and incomplete reasoning section ('in accordance with the p...') must be restored or removed to make the rule coherent and usable.","Complete the truncated Sanskrit phrase and its translation, or remove the incomplete comparative section and focus solely on the core Amala yoga principle regarding benefic/malefic involvement.",
R-300IMP-GEN-039,300 Important Combinations,Private Limited O Delhi,300-important-combin_001_20260413,composite,,,Text is an incomplete case-study fragment ('Chart No. 32') without a coherent general principle; does not function as a reusable interpretation rule.,"In the astrological configuration of Chart No. 32, Venus governs the Ascendant and resides in a Kendra relative to Jupiter. Mercury, the ruler of the ninth house, is in a position of strength. Consequently, the individual holds a prestigious role as an Educational Officer, reaping the benefits bestowed by this auspicious Yoga, albeit subject to the adverse influences of other planetary positions.",deprecate,This is a specific horoscope example (Chart No. 32) with no generalized principle stated; it cannot function as a reusable interpretation rule for other charts.,,
R-300IMP-GEN-046,300 Important Combinations,Private Limited O Delhi,300-important-combin_001_20260413,composite,,,Text is an incomplete case-study fragment ('Chart No. 38') without a coherent general principle; does not function as a reusable interpretation rule.,"In the astrological configuration under discussion, the three celestial bodies responsible for the Yoga are adversely affected by malevolent forces. The Moon finds itself in conjunction with Kethu, while Jupiter is under the sway of Rahu's influence. Additionally, the Sun is linked with Saturn and other malefic entities. Although Chart No. 38 serves as an example of this Yoga's theoretical framework, it yields only a modest 20 to 25 percent of the anticipated outcomes due to its limiting characteristics.",deprecate,This is a specific chart example (Chart No. 38) used to illustrate outcome reduction rather than a generalizable principle; the rule name and general condition are absent.,,
R-300IMP-GEN-052,300 Important Combinations,Private Limited O Delhi,300-important-combin_001_20260413,composite,,,Rule is presented as a specific example (Cancer/Virgo/Sagittarius Lagnas) rather than a general principle. It discusses why a yoga cannot form in certain signs but does not state what yoga is being analyzed. Text is truncated and lacks context.,"In the event that Cancer serves as the Lagna, two crucial conditions of the yoga will not be fulfilled, as the lords of the 9th and 11th houses are designated as Jupiter and Venus, respectively. Furthermore, should the Lagna be Virgo or Sagittarius, the yoga cannot achieve its complete form. In the case of Virgo, Mercury assumes the role of the lord of the 10th house, while for Sagittarius, both Mercury and Venus govern the 10th and 11th houses, thus influencing the overall disposition of these planets.",needs_edit,"The rule identifies sign-specific exceptions but fails to name which yoga is being analyzed, lacks context for why these signs fail the conditions, and text appears truncated.","Add the yoga name at the beginning; provide the complete conditions that Cancer/Virgo/Sagittarius fail to meet; restore any truncated reasoning about the 9th, 10th, and 11th house lord dispositions.",
R-300IMP-GEN-055,300 Important Combinations,Private Limited O Delhi,300-important-combin_001_20260413,composite,,,Summary is incomplete ('Chart No.' with no number); rule is comparative chart analysis rather than a generalizable principle; detailed text is truncated.,"The analysis of Three Hundred Important Combinations indicates that Chart No. 57 possesses greater strength and potential compared to Chart No. 56, which is hindered by the frailty of its Lagnadhipati. In contrast, Chart No. 57 is significantly enhanced by the presence of Mars, a yogakaraka situated in the 5th house, alongside Jupiter, the lord of another trine, positioned in the 11th house. In terms of renown and affluence, Chart No. 57 exhibits a marked superiority. These examples illustrate how identical yogas may manifest diversely across various horoscopes.",deprecate,This is a comparative chart analysis (Chart No. 56 vs. 57) with incomplete reference ('Chart No.' without number) that illustrates variation rather than establishing a generalizable interpretive principle.,,
R-300IMP-GEN-057,300 Important Combinations,Private Limited O Delhi,300-important-combin_001_20260413,composite,,,Summary is a fragmented list of yoga names without a coherent interpretive statement; text is incomplete and does not function as a usable rule.,"It is evident that the three Asraya yogas—Rajju, Musala, and Nala—exhibit similarities to the yava, Abja, Vajra, Andaja or pakshi, Gola, Gada, and Sakata found among the Akriti yogas, as well as Sula and Kedara within the Sankhya yogas. Furthermore, the two Dala Yogas, Srik and Sarpa, yield outcomes akin to those of benefic and malefic planets positioned in kendras (Vajra and Yava). To elaborate, let us consider a scenario where all planets occupy Cancer and Libra, which are movable signs, thereby establishing Rajju yoga. In this case, two adjacent angles are filled. Should the ascendant be either Cancer or Libra, Gada is formed, rendering it identical to Rajju. Likewise, if the planets reside in Cancer and Capricorn, with the Lagna being Cancer or Capricorn, both Rajju and Sakata yogas coalesce. The Nala and Sakata yogas align if we transition to Gemini and Sagittarius, provided one of these signs is ascending. Thus, if the ascendant is located elsewhere, both yogas will manifest. Similar instances can be cited for the convergence of Asraya or Dala Yogas with other Akriti and Sankhya yogas. However, these examples do not encompass all potential occurrences of Asraya and Dala yogas within the Akriti and Sankhya frameworks. Hence, to illustrate that...",deprecate,"The text is a fragmented, truncated exploration of yoga similarities and edge cases that trails off mid-sentence ('Hence, to illustrate that...') without arriving at a coherent, usable interpretation rule.",,
R-300IMP-GEN-058,300 Important Combinations,Private Limited O Delhi,300-important-combin_001_20260413,composite,,,"Taurus is classified as a dry sign, but classically Taurus is an earth sign and is considered moist/wet; this contradicts standard Vedic astrology sign classifications.","In astrological terms, the signs characterized by dryness include Aries, Taurus, Gemini, Leo, Virgo, and Sagittarius. The planets associated with dryness are the Sun, Mars, and Saturn. For practical considerations, Mercury may also be regarded as a dry planet. A similar conclusion may be drawn if both the Lagna and its lord have attained a certain condition.",needs_edit,Taurus is misclassified as dry when classical Vedic astrology treats earth signs (including Taurus) as moist; this contradicts standard sign quality doctrine and requires correction.,"Remove Taurus from the dryness list; revise to: 'Aries, Gemini, Leo, Virgo, and Sagittarius' are dry signs. Add clarification that Taurus (earth) is moist, Cancer (water) is moist, Libra (air) is moist, etc.",
