book,chapter,batch_ids,total,auto_approved,flagged,pending_human_review,rejected,flag_rate_%
Longevity and Astro System,Makara Lagna Or Capricorn,longevity-and-astro_013_20260413,3,0,3,0,0,100%
Longevity and Un-Natural Death,General,longevity-and-un-nat_001_20260413,3,0,3,0,0,100%
A Book of 300 Important Horoscopes Vol-I,A Book Of 300 Important Horocopes (V0L-I)-P-1 Mk Viswanath Nair,a-book-of-300-import_006_20260413 | a-book-of-300-import_019_20260413,2,0,2,0,0,100%
A Book of 300 Important Horoscopes Vol-I,A Book Of 300 Important Horocqpes (V0L-I)-P-1 Mkviswanath Nair,a-book-of-300-import_008_20260413,2,0,1,0,1,50%
A Book of 300 Important Horoscopes Vol-I,8U07Hl:,a-book-of-300-import_009_20260413,2,0,1,0,1,50%
A Text Book of Astrology,7 10 1 4 7,a-text-book-of-astro_007_20260413,2,0,1,0,1,50%
Lal Kitab,Bha V Grah Phala (Effect Of Planet Corresponding To House),lal-kitab_018_20260413,2,0,1,0,1,50%
Longevity and Astro System,Nirayana Placidus Cusp Chart,longevity-and-astro_030_20260413,2,0,2,0,0,100%
Longevity and Astro System,Significations Of Nodes:,longevity-and-astro_044_20260413,2,0,2,0,0,100%
A Book of 300 Important Horoscopes Vol-I,Table - Iv (House Wise Signification Table),a-book-of-300-import_001_20260413,1,0,1,0,0,100%
A Book of 300 Important Horoscopes Vol-I,24 Pi So Hl:,a-book-of-300-import_003_20260413,1,0,1,0,0,100%
A Book of 300 Important Horoscopes Vol-I,8 U 52- Mk,a-book-of-300-import_013_20260413,1,0,1,0,0,100%
A Book of 300 Important Horoscopes Vol-I,9A042 Hl:,a-book-of-300-import_014_20260413,1,0,1,0,0,100%
A Book of 300 Important Horoscopes Vol-I,Photo Not,a-book-of-300-import_016_20260413,1,0,1,0,0,100%
A Book of 300 Important Horoscopes Vol-I,1 U 42- Ok,a-book-of-300-import_018_20260413,1,0,1,0,0,100%
Brihat Parashara Hora Shastra,General,brihat-parashara-hor_001_20260413,1,0,0,1,0,0%
Brihat Parashara Hora Shastra,7 49 6,brihat-parashara-hor_001_20260413,1,0,1,0,0,100%
Brihat Parashara Hora Shastra,I 989 66969,brihat-parashara-hor_001_20260413,1,0,1,0,0,100%
Lal Kitab,"3 1 11 ,10",lal-kitab_009_20260413,1,0,0,0,1,0%
Lal Kitab,Lal Kitab And Freedom,lal-kitab_021_20260413,1,0,1,0,0,100%
Lal Kitab,3 40 50,lal-kitab_024_20260413,1,0,1,0,0,100%
Lal Kitab,74 4 2 8 6 12 I 11 7 10 5 9,lal-kitab_028_20260413,1,0,1,0,0,100%
Longevity and Astro System,Dhanus Lagna Or Sagittarius,longevity-and-astro_012_20260413,1,0,1,0,0,100%
Longevity and Astro System,Kumbh Lagna Or Aquarius,longevity-and-astro_014_20260413,1,0,1,0,0,100%
Longevity and Astro System,Longevtit And Aotio System,longevity-and-astro_019_20260413,1,0,1,0,0,100%
Longevity and Astro System,Significations Table,longevity-and-astro_020_20260413,1,0,1,0,0,100%
Longevity and Astro System,Vii 24-051,longevity-and-astro_029_20260413,1,0,1,0,0,100%
Longevity and Astro System,19U05-Bk,longevity-and-astro_031_20260413,1,0,1,0,0,100%
Longevity and Astro System,Occupant Planets In,longevity-and-astro_035_20260413,1,0,1,0,0,100%
Longevity and Astro System,07Th House,longevity-and-astro_036_20260413,1,0,1,0,0,100%
Longevity and Astro System,Leo-Sun,longevity-and-astro_054_20260413,1,0,1,0,0,100%
Longevity and Astro System,Nirayana Cuspal Chart,longevity-and-astro_055_20260413,1,0,1,0,0,100%
Longevity and Un-Natural Death,9U42,longevity-and-un-nat_006_20260413,1,0,1,0,0,100%
